long,lat,alt,x,y,pre_value,meanTem,meanPre,popdensity,mean
-4.316666667,41.81666667,833.4075,390643.2758,4630259.122,74.02599949,12.07,648.16,11.8,14.11978261
-4.15,41.81666667,887.7925,404486.1241,4630060.414,78.65223193,12.07,648.16,11.8,14.11978261
-3.983333333,41.81666667,895.9225,418328.8812,4629888.567,79.35844932,12.07,648.16,11.8,14.11978261
-3.816666667,41.81666667,894.7575,432171.5604,4629743.577,79.28595574,12.07,648.16,11.8,14.11978261
-3.65,41.81666667,911.91,446014.1747,4629625.441,80.74127471,12.07,648.16,11.8,14.11978261
-3.483333333,41.81666667,956.9275,459856.7375,4629534.156,84.51766969,12.07,648.16,11.8,14.11978261
-3.316666667,41.81666667,1028.5625,473699.2619,4629469.721,90.53375676,12.07,648.16,11.8,14.11978261
-3.15,41.81666667,1097.3275,487541.7612,4629432.134,96.3043617,12.07,648.16,11.8,14.11978261
-2.983333333,41.81666667,1152.3725,501384.2486,4629421.395,100.9124388,12.07,648.16,11.8,14.11978261
-2.816666667,41.81666667,1157.7775,515226.7373,4629437.504,101.3480212,12.07,648.16,11.8,14.11978261
-2.65,41.81666667,1139.3225,529069.2405,4629480.46,99.77565527,12.07,648.16,11.8,14.11978261
-2.483333333,41.81666667,1085.935,542911.7716,4629550.265,95.2643607,12.07,648.16,11.8,14.11978261
-2.316666667,41.81666667,1120.895,556754.3436,4629646.92,98.17396145,12.07,648.16,11.8,14.11978261
-2.15,41.81666667,1132.785,570596.9699,4629770.427,99.12309128,12.07,648.16,11.8,14.11978261
-1.983333333,41.81666667,1078.95,584439.6636,4629920.788,94.54402088,12.07,648.16,11.8,14.11978261
-6.15,41.65,775.5440415,237684.1939,4615712.019,69.34170896,12.07,648.16,11.8,14.11978261
-5.983333333,41.65,753.7625,251564.8583,4615217.801,67.39829609,12.07,648.16,11.8,14.11978261
-5.816666667,41.65,711.51,265445.2756,4614750.499,63.73230875,12.07,648.16,11.8,14.11978261
-5.65,41.65,682.1275,279325.4594,4614310.103,61.18255315,12.07,648.16,11.8,14.11978261
-5.483333333,41.65,718.905,293205.4232,4613896.604,64.25707575,12.07,648.16,11.8,14.11978261
-5.316666667,41.65,749.26,307085.1807,4613509.994,66.81780016,12.07,648.16,11.8,14.11978261
-5.15,41.65,780.8675,320964.7455,4613150.266,69.47881791,12.07,648.16,11.8,14.11978261
-4.983333333,41.65,816.51,334844.1314,4612817.411,72.48301634,12.07,648.16,11.8,14.11978261
-4.816666667,41.65,778.2775,348723.3521,4612511.424,69.28520706,12.07,648.16,11.8,14.11978261
-4.65,41.65,742.9275,362602.4213,4612232.299,66.35866139,12.07,648.16,11.8,14.11978261
-4.483333333,41.65,788.55,376481.3529,4611980.029,70.26113635,12.07,648.16,11.8,14.11978261
-4.316666667,41.65,840.29,390360.1607,4611754.609,74.67290133,12.07,648.16,11.8,14.11978261
-4.15,41.65,834.7925,404238.8585,4611556.036,74.27200097,12.07,648.16,11.8,14.11978261
-3.983333333,41.65,839.3575,418117.4602,4611384.305,74.68543131,12.07,648.16,11.8,14.11978261
-3.816666667,41.65,842.2575,431995.9797,4611239.413,74.95527472,12.07,648.16,11.8,14.11978261
-3.65,41.65,852.0075,445874.431,4611121.356,75.78883065,12.07,648.16,11.8,14.11978261
-3.483333333,41.65,900.37,459752.8278,4611030.133,79.84357614,12.07,648.16,11.8,14.11978261
-3.316666667,41.65,918.145,473631.1843,4610965.741,81.32433653,12.07,648.16,11.8,14.11978261
-3.15,41.65,966.87,487509.5142,4610928.18,85.40941095,12.07,648.16,11.8,14.11978261
